nom;localisation;type;statut;adresse_postale;telephone;adresse_mail;site_web
Lycée Émile Zola;Rennes;GT;public;2 avenue Janvier - CS 54444 - 35044 Rennes;02 99 79 23 00;ce.0350024l@ac-rennes.fr;http://www.citescolaire-emilezola-rennes.ac-rennes.fr
Lycée Chateaubriand;Rennes;GT;public;136 boulevard de Vitré - CS 10637 - 35706 Rennes;02 99 28 19 00;ce.0350710g@ac-rennes.fr;http://www.lycee-chateaubriand.fr
Lycée Joliot Curie;Rennes;GT;public;144 boulevard de Vitré - BP 80314 - 35703 Rennes;02 99 28 81 00;ce.0350029s@ac-rennes.fr;http://www.lycee-joliot-curie-rennes.ac-rennes.fr
Lycée René Descartes;Rennes;GT;public;14 chemin de Ronde - BP 49157 - 35091 Rennes;02 99 51 49 64;ce.0351907h@ac-rennes.fr;https://lycee-descartes-rennes.ac-rennes.fr
Lycée Jean Macé;Rennes;GT;public;10 rue Jean Macé - BP 90431 - 35704 Rennes;02 99 87 91 30;ce.0350026n@ac-rennes.fr;http://www.lycee-jeanmace-rennes.ac-rennes.fr
Lycée Victor et Hélène Basch;Rennes;GT;public;15 avenue Charles et Raymonde Tillon - CS 51111 - 35011 Rennes;02 99 59 22 00;ce.0350027p@ac-rennes.fr;http://www.lycee-basch-rennes.ac-rennes.fr
Lycée polyvalent Pierre Mendès France;Rennes;Polyvalent;public;34 rue Bahon Rault - CS 86906 - 35069 Rennes;02 99 86 82 00;ce.0350028r@ac-rennes.fr;http://www.lycee-mendes-france-rennes.ac-rennes.fr
Lycée professionnel Louis Guilloux;Rennes;LP;public;76 avenue des Buttes de Coësmes - BP 70313 - 35703 Rennes;02 99 87 12 78;ce.0350032v@ac-rennes.fr;http://www.lycee-guilloux-rennes.ac-rennes.fr
Lycée professionnel Jean Jaurès;Rennes;LP;public;24 rue Victor Rault - BP 80533 - 35205 Rennes;02 99 65 15 66;ce.0350031u@ac-rennes.fr;http://www.lycee-jean-jaures-rennes.fr
Lycée professionnel Coëtlogon;Rennes;LP;public;53 rue Antoine Joly - BP 18307 - 35083 Rennes;02 99 22 19 19;ce.0350030t@ac-rennes.fr;http://www.lycee-coetlogon-rennes.ac-rennes.fr
