lycee;dispositif;duree;information_complementaire
Lycée Émile Zola;Internat;3 ans;Internat filles-garçons
Lycée Émile Zola;Section européenne (lycée GT);3 ans;Anglais
Lycée Chateaubriand;Internat;3 ans;Internat filles-garçons
Lycée Chateaubriand;Section européenne (lycée GT);3 ans;Anglais, Allemand, Espagnol
Lycée Chateaubriand;Section sportive de lycée;3 ans;Football
Lycée Joliot Curie;Internat;3 ans;Internat filles-garçons
Lycée Joliot Curie;Section européenne (lycée GT);3 ans;Anglais
Lycée René Descartes;Section européenne (lycée GT);3 ans;Anglais, Allemand
Lycée Jean Macé;Internat;3 ans;Internat filles-garçons (hébergement possible dimanche soir)
Lycée Jean Macé;Section européenne (lycée GT);3 ans;Anglais, Allemand, Italien
Lycée Jean Macé;Section bilingue de langue régionale;3 ans;Breton
Lycée Jean Macé;Esabac;3 ans;Double diplôme franco-italien
Lycée Jean Macé;Section sportive de lycée;3 ans;Basket
Lycée Victor et Hélène Basch;Internat;3 ans;Internat filles-garçons
Lycée Victor et Hélène Basch;Section européenne (lycée GT);3 ans;Anglais
Lycée Victor et Hélène Basch;Section sportive de lycée;3 ans;Athlétisme
Lycée polyvalent Pierre Mendès France;Internat;3 ans;Internat filles-garçons
Lycée polyvalent Pierre Mendès France;Section européenne (lycée GT);3 ans;Anglais
Lycée professionnel Louis Guilloux;Internat;3 ans;Internat filles-garçons
Lycée professionnel Jean Jaurès;Section européenne (lycée professionnel);3 ans;Anglais
Lycée professionnel Coëtlogon;Internat;3 ans;Internat filles-garçons
Lycée professionnel Coëtlogon;Section européenne (lycée professionnel);3 ans;Anglais
Lycée Bréquigny;Section européenne (lycée professionnel);3 ans;Anglais
Lycée Assomption;Internat;3 ans;Internat filles-garçons
Lycée Assomption;Section européenne (lycée GT);3 ans;Anglais, Allemand
Lycée La Mennais;Internat;3 ans;Internat filles-garçons
Lycée La Mennais;Section européenne (lycée GT);3 ans;Anglais
Lycée Saint-Martin - Quartier Sainte-Anne;Section européenne (lycée GT);3 ans;Anglais
Lycée Saint-Martin - Quartier Sainte-Geneviève;Section européenne (lycée GT);3 ans;Anglais
Lycée polyvalent Saint-Vincent Providence;Internat;3 ans;Internat filles-garçons
Lycée polyvalent Saint-Vincent Providence;Section européenne (lycée GT);3 ans;Anglais
Lycée polyvalent Jeanne d'Arc;Internat;3 ans;Internat filles-garçons
Lycée polyvalent Jeanne d'Arc;Section européenne (lycée GT);3 ans;Anglais
Lycée polyvalent Jeanne d'Arc;Section théâtre;3 ans;Enseignement optionnel et de spécialité
Lycée de La Salle;Section européenne (lycée GT);3 ans;Anglais
Lycée Saint-Exupéry - The Land;Section européenne (lycée GT);3 ans;Anglais
Lycée Sévigné;Internat;3 ans;Internat filles-garçons
Lycée Sévigné;Section européenne (lycée GT);3 ans;Anglais
Lycée Sévigné;Section sportive de lycée;3 ans;Sport de haut niveau
Lycée polyvalent Frédéric Ozanam;Internat;3 ans;Internat filles-garçons
Lycée polyvalent Frédéric Ozanam;Section européenne (lycée GT);3 ans;Anglais
Lycée polyvalent Frédéric Ozanam;Section sportive de lycée;3 ans;Football, Basketball
Lycée Anita Conti;Section européenne (lycée GT);3 ans;Anglais
Lycée Saint-Joseph;Internat;3 ans;Internat filles-garçons
Lycée Saint-Joseph;Section européenne (lycée GT);3 ans;Anglais
Lycée Saint-Joseph;Section arts;3 ans;Arts plastiques, Cinéma-audiovisuel
Lycée polyvalent Théodore Monod;Internat;3 ans;Internat filles-garçons
Lycée polyvalent Théodore Monod;Section européenne (lycée GT);3 ans;Anglais
Lycée Jean-Paul II;Internat;3 ans;Internat filles-garçons
Lycée Jean-Paul II;Section européenne (lycée GT);3 ans;Anglais
