dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;dcat.publisher_type;dcat.conforms_to;dcat.temporal_coverage_start;dcat.temporal_coverage_end;dcat.accessRights;dcat.relation;default.title;default.description;default.theme;default.keyword;default.license;default.license_url;default.language;default.metadata_languages;default.timezone;default.modified;default.modified_updates_on_metadata_change;default.modified_updates_on_data_change;default.data_processed;default.metadata_processed;default.geographic_reference;default.geographic_reference_auto;default.territory;default.geometry_types;default.bbox;default.publisher;default.references;default.records_count;default.attributions;default.source_domain;default.source_domain_title;default.source_domain_address;default.source_dataset;default.shared_catalog;default.federated;default.parent_domain;default.update_frequency;metadonnees-complementaires.date-observation;metadonnees-complementaires.periode-donnees;metadonnees-complementaires.champ;metadonnees-complementaires.couverture-geographique;metadonnees-complementaires.unite-statistique;metadonnees-complementaires.secret-statistique;datasetid
2025-03-06;2025-03-06;DEPP – Ministère en charge de l’éducation nationale;DARES – Ministère en charge du travail;;;threeTimesAYear;France hors Mayotte;Chaque année : emploi salarié mesuré à 6 mois, 12 mois, 18 mois et 24 mois après la sortie d'études;;;;;2021-12-31T23:00:00+00:00;2024-12-30T23:00:00+00:00;;;Inserjeunes Voie professionnelle scolaire agricole par établissement relevant du ministère de l'agriculture et formation fine;"<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""668""><colgroup><col width=""668""/></colgroup><tbody><tr height=""280"">
  <td class=""xl65"" height=""280"" style=""height:210.0pt;width:501pt"" width=""668""><table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""668""><colgroup><col width=""668""/></colgroup><tbody><tr height=""460"">
  <td class=""xl65"" height=""460"" style=""height:345.0pt;width:501pt"" width=""668""><p>Ces
  données sont issues du système d'information DEPP/DARES InserJeunes et
  rendent compte du devenir des lycéens et étudiants inscrits en dernière année
  d'une formation professionnelle de niveau 3 à 5 (CAPa, baccalauréat
  professionnel agricole, BTSA), dispensée dans un Etablissement Public Local
  d'Enseignement (EPLE) ou dans un lycée privé sous contrat, sous tutelle du
  ministère de l'agriculture.<br>
    <br>
    Les indicateurs issus d'InserJeunes au niveau établissement par formations
  fines sont calculés pour deux millésimes cumulés : <br>
    <br>
    - les jeunes inscrits en N et N-1 pour le taux de poursuite d'études et le
  devenir des jeunes après la formation<br>
    - les sortants d'études en N et N-1 pour les taux d'emploi à 6, 12, 18 et
  24 mois après la sortie d'études<br>
    <br>
    <font class=""font6"">Inserjeunes couvre l’ensemble de l’emploi salarié en
  France, à l’exception des emplois salariés relevant de particuliers
  employeurs. L’emploi non salarié ou à l’étranger n'est pas couvert. </font><font class=""font5""><br>
    <br>
    </font><font class=""font6"">Pour les sortants 2022-2023, seule la situation
  à 6 et 12 mois est disponible à ce jour. La situation à 18 et 24 mois sera
  complétée ultérieurement.<br>
    <br>
    Pour les sortants 2023-2024, seule la situation à 6 mois est disponible à
  ce jour. La situation à 12, 18 et 24 mois sera complétée
  ultérieurement.<br>
    <br>
    Pour en savoir plus :</font></p><p><font class=""font6""><a href=""http://www.education.gouv.fr/enseignement-agricole-insertion-des-lyceens-professionnels-et-etudiants-de-niveau-capa-btsa-six-mois-416744"" target=""_blank"">Antoine R. et Gauvin C., 2025, « Enseignement agricole : insertion des lycéens professionnels et étudiants de niveau CAPa à BTSA, six mois après leur sortie d’études en 2023 - 50 % sont en emploi salarié en janvier 2024 », Note d'Information n° 25-11, DEPP-DGER.</a></font></p></td>
</tr></tbody></table></td></tr></tbody></table>";Elèves, étudiants, et apprentis;établissements,formation professionnelle,élèves,lycéens,lycée professionnel,insertion professionnelle,poursuite d'études,inserjeunes;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2025-03-04T16:01:22+00:00;False;False;2025-12-18T13:03:01+00:00;2026-01-20T10:34:46.171000+00:00;;False;;;;DEPP – Ministère en charge de l’éducation nationale;;4654;;;;;;;False;;ANNUAL_3;Chaque année : emploi salarié mesuré à 6 mois, 12 mois, 18 mois et 24 mois après la sortie d'études;2022-2024;Etablissements Publics Locaux d'Enseignement (EPLE) ou lycées privés sous contrat, sous tutelle du ministère de l'agriculture.;France hors Mayotte;Lycéens et étudiants inscrits en dernière année de formation en voie professionnelle agricole de niveau CAPa à BTSA en lycée public et privé sous contrat (pour le taux de poursuite d'études) Sortants d'une dernière année de formation en voie professionnelle agricole de niveau CAPa à BTSA en lycée public et privé sous contrat (pour le taux d'emploi salarié);Pour des raisons de respect de la confidentialité, les statistiques ne sont diffusées que si les effectifs sont supérieurs ou égaux à 20.;fr-en-inserjeunes-lycee_pro-agri-formation-fine
2025-03-21;2025-06-01;;;;;annual;Union européenne;;;;;;;;;;Les objectifs européens en éducation et en formation;<p>Ce jeu de données contient des indicateurs relatifs à plusieurs objectifs européens en matière d'éducation et de formation dans la perspective du développement de l'espace européen de l'éducation.</p><p>Un de ces objectifs concerne la participation à l'accueil et à l'éducation des jeunes enfants âgés entre 3 ans et l'âge de début de l'enseignement élémentaire obligatoire (cible fixée à au moins 96 % à l'horizon 2030).</p><p>Un deuxième objectif cible la part des jeunes âgés de 18 à 24 ans quittant prématurément l'éducation et la formation (qui devrait être inférieure à 9 % à l'horizon 2030).</p><p>Un troisième objectif est relatif à la part des élèves de 15 ans scolarisés et ayant de faibles résultats en compréhension de l'écrit, en culture mathématique et en culture scientifique (qui devrait être inférieure à 15 % à l'horizon 2030).</p><p>Un quatrième objectif concerne la part d'élèves en 8e année à partir de l'entrée dans l'enseignement élémentaire obligatoire ayant de faibles résultats en littératie numérique (qui devrait être inférieure à 15 % à l'horizon 2030).</p><p>Un cinquième objectif est relatif à la proportion d'individus âgés de 25 à 34 ans ayant un niveau d'études supérieur (cible fixée à au moins 45 % à l'horizon 2030).<br></p>;Politique éducative (dont éducation prioritaire);Éducation,participation,diplômes,acquis;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2025-07-08T08:12:31.727000+00:00;True;True;2025-05-22T20:32:07+00:00;2025-07-08T08:12:34.106000+00:00;;False;;;;DEPP – Ministère de l’éducation nationale;;1009;;;;;;;False;;ANNUAL;16/05/2025;2012-2024;Ensemble de chaque système éducatif de l'Union européenne à 27 pays.;Union européenne;Les pays;;fr-en-objectifs_europeens_education_formation
;;Paris 2024;;;;;;;;;;;;;;;Carte des Jeux - Road Events (EN);"<p style=""font-family: sans-serif;""><span style=""font-weight: 700;"">Geodata - Liste des road events de Paris 2024 (EN) </span><br></p>";Sport, jeunesse et vie associative;;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2024-09-13T08:12:23+00:00;False;False;2024-10-10T09:05:20+00:00;2024-10-31T09:23:38.800000+00:00;;False;;LineString;"{""coordinates"": [[[55.72092102840543, 51.111266263760626], [-149.61447849869728, 51.111266263760626], [-149.61447849869728, -21.389075126498938], [55.72092102840543, -21.389075126498938], [55.72092102840543, 51.111266263760626]]], ""type"": ""Polygon""}";Ministère des Sports;;678;;;;;;;False;;;;;;;;;games_map_road_events_en
;;Paris 2024;;;;;;;;;;;;;;;"Paris 2024 - Territoires labellisés ""Terre de Jeux""";;Sport, jeunesse et vie associative;Terre de Jeux;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2024-10-01T13:37:38+00:00;False;False;2024-10-10T16:04:37+00:00;2024-10-30T15:27:29.409000+00:00;;False;;;;Ministère des Sports;;4513;;;;;;;False;;;;;;;;;paris-2024-territoires-labellises-terre-de-jeux
;;Paris 2024;;;;;;;;;;;;;;;Paris 2024 - Lignes PARA TF;"<p class=""trailer-half break-word"" style='margin-bottom: 0.75rem; overflow-wrap: break-word; max-width: 100%; color: rgb(76, 76, 76); font-family: ""Avenir Next W01"", ""Avenir Next W00"", ""Avenir Next"", Avenir, ""Helvetica Neue"", sans-serif; font-size: 16px;'><span class=""js-view if-snippet break-word"" style=""overflow-wrap: break-word; max-width: 100%; display: inherit;"">Itinéraires pour le TF. Le TF est un service de transport pour les fédérations.</span></p>";Sport, jeunesse et vie associative;transport,accrédités,mobilité,TF;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2024-10-01T10:01:39+00:00;False;False;2024-10-09T21:23:23+00:00;2024-10-30T15:26:38.093000+00:00;;False;;LineString,MultiLineString;"{""coordinates"": [[[2.711352976039052, 48.97631598170847], [2.0349199790507555, 48.97631598170847], [2.0349199790507555, 48.78464695997536], [2.711352976039052, 48.78464695997536], [2.711352976039052, 48.97631598170847]]], ""type"": ""Polygon""}";Ministère des Sports;;93;;;;;;;False;;;;;;;;;paris-2024-lignes-para-tf
2025-01-26;2025-03-06;;;;;annual;France + Saint-Martin et Saint-Barthélemy rattachées à l’académie de la Guadeloupe;la rentrée scolaire;;;;;2019-09-14T22:00:00+00:00;2024-09-14T22:00:00+00:00;;;Résultats consolidés aux évaluations nationales de début de seconde générale et technologique par département;<p>Ce jeu de données contient les scores moyens et les écarts types, ainsi que les répartitions dans les groupes des élèves de seconde générale et technologique aux tests de positonnement de français et de mathématiques. Les statistiques sont issues des données consolidées. Les données sont présentées par département et au niveau national.<br><br>Cette évaluation se déroule en septembre chaque année pour tous les élèves de seconde générale et technologique des établissements publics et privés sous contrat. La date d'évaluation est indiquée comme étant le 15 septembre de chaque année, elle varie de quelques jours d'un établissement à l'autre et d'une année à l'autre.<br></p>;Evaluation des élèves;évaluations,seconde,scores,groupe;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2025-07-08T07:18:07.639000+00:00;True;True;2025-03-03T20:57:07+00:00;2025-07-08T07:19:31.289000+00:00;;False;;;;DEPP – Ministère de l’éducation nationale;;3672;;;;;;;False;;ANNUAL;15/09/2024;2019-2024;Public et privé sous contrat sous tutelle du ministère de l'éducation nationale;France + Saint-Martin et Saint-Barthélemy rattachées à l’académie de la Guadeloupe;Les élèves de seconde générale et technologique;;fr-en-evaluations_nationales_2degt_departement
;;;;;;Annuelle;France;2020-2022;;;;;2019-12-31T23:00:00+00:00;2022-12-30T23:00:00+00:00;;;Part des véhicules à faibles émissions dans le renouvellement du parc du Ministère de l’éducation nationale et de la Jeunesse;"<p>L’article L 224-12 du code de l’environnement soumet à publication le 
suivi des objectifs de renouvellement des flottes publiques par des 
véhicules à faibles et très faibles émissions. L’arrêté organisant les 
modalités de publication par chaque personne assujettie a été publié au 
journal officiel du 30 décembre 2020.<br> Les données du MENJ 
concernant la part de véhicules à faibles émissions et de véhicules à 
très faibles émissions dans le renouvellement du parc sont présentées au
 niveau global et pour chaque entité ayant effectué ces types d’achats.</p>";Organisation du système scolaire;véhicules;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2025-10-01T09:11:45+00:00;True;True;2025-10-01T09:11:45+00:00;2025-10-01T09:11:45.628000+00:00;;False;;;;SAAM-Ministère de l'Éducation nationale;;88;;;;;;;False;;;;;;;;;fr-en-part_vehicules_faibles_emissions
;;Paris 2024;;;;;;;;;;;;;;;Paris 2024 - Flux piétons accrédités;"<p class=""trailer-half break-word"" style='margin-bottom: 0.75rem; overflow-wrap: break-word; max-width: 100%; color: rgb(76, 76, 76); font-family: ""Avenir Next W01"", ""Avenir Next W00"", ""Avenir Next"", Avenir, ""Helvetica Neue"", sans-serif; font-size: 16px;'><span class=""js-view if-snippet break-word"" style=""overflow-wrap: break-word; max-width: 100%; display: inherit;"">Tracé du cheminement piétons accrédités entre les parkings et les PSA des sites de compétition.<br></span></p><p></p>";Sport, jeunesse et vie associative;transport,mobilité,accrédités;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2024-10-01T10:01:49+00:00;False;False;2024-10-09T15:47:36+00:00;2024-10-30T15:26:43.484000+00:00;;False;;LineString;"{""coordinates"": [[[3.1357512809336185, 50.63179642427713], [1.7572825122624636, 50.63179642427713], [1.7572825122624636, 46.82180166710168], [3.1357512809336185, 46.82180166710168], [3.1357512809336185, 50.63179642427713]]], ""type"": ""Polygon""}";Ministère des Sports;;184;;;;;;;False;;;;;;;;;paris-2024-flux-pietons-accredites
;;Paris 2024;;;;;;;;;;;;;;;Paris 2024 - Lignes TC CER;"<p><font color=""#4c4c4c"" face=""Avenir Next W01, Avenir Next W00, Avenir Next, Avenir, Helvetica Neue, sans-serif""><span style=""font-size: 16px;"">Itinéraires des services de TC lors des cérémonies. Le TC est un service de transport pour la workforce.</span></font></p><div><span style=""font-family: inherit; font-size: 0.875rem;""><br></span></div>";Sport, jeunesse et vie associative;transport,mobilité,accrédités;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2024-10-01T10:01:20+00:00;False;False;2024-10-09T15:33:25+00:00;2024-10-30T15:26:16.594000+00:00;;False;;LineString;"{""coordinates"": [[[2.5038849469274282, 48.974247998557985], [2.2519459761679173, 48.974247998557985], [2.2519459761679173, 48.82543996442109], [2.5038849469274282, 48.82543996442109], [2.5038849469274282, 48.974247998557985]]], ""type"": ""Polygon""}";Ministère des Sports;;31;;;;;;;False;;;;;;;;;paris-2024-lignes-tc-cer
;;Paris 2024;;;;;;;;;;;;;;;Paris 2024 - Entrées Cérémonie d'ouverture Olympique;<p>Ce dataset comprend les entrées spectateurs associées aux sessions OOC01 et QHOOC01 de la cérémonie d'ouverture des Jeux Olympiques (CER1)</p>;Sport, jeunesse et vie associative;;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2024-07-12T08:49:15+00:00;False;False;2024-10-10T14:49:00+00:00;2024-10-31T13:38:50.335000+00:00;;False;;Point;"{""coordinates"": [[[2.369463946670294, 48.87226399965584], [2.2993529308587313, 48.87226399965584], [2.2993529308587313, 48.839934999123216], [2.369463946670294, 48.839934999123216], [2.369463946670294, 48.87226399965584]]], ""type"": ""Polygon""}";Ministère des Sports;;38;;;;;;;False;;;;;;;;;paris-2024-entrees-ceremonie-d-ouverture-olympique
